Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
"Nhân Viên Tư Vấn / Nhân Viên Kinh Doanh/ Chăm Sóc Khách Hàng / Sales - Tại Việt Trì, Phú Thọ ( Thu Nhập 9 Triệu - 20 Triệu ) - Data Sẵn - Không Yêu Cầu Kinh Nghiệm",CÔNG TY CỔ PHẦN POWER MEMBERSHIP CARD,9 - 20 triệu,"Phú Thọ, Miền Bắc",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-power-membership-card-c778b7d7f8b0d0399ed287504d264684-666faa38adca1.jpg
Trưởng Phòng Kinh Doanh Giáo Dục,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BẦU TRỜI XANH,15 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ha4FlVILXjqCETyVD929uKtU7sb5obzW_1701241896____280c38753e8ac8182216124fae97a479.png
"HOT
Nhân Viên Telesales/ Nhân Viên Kinh Doanh Lĩnh Vực Truyền Thông Thu Nhập Từ 8.000.000VNĐ Đến 20.000.000VNĐ",CÔNG TY CỔ PHẦN TƯ VẤN CHẤT LƯỢNG PHƯƠNG NAM,10 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ESTfB37BlXlXZ2vbePopdx2gAmft6j4z_1675243816____8fbb1c48fa1650921510564fc6876c2f.jpg
"Chuyên Viên Tư Vấn Tuyển Sinh /Kinh Doanh /Sales / Consultant - Thu Nhập Lên Đến 30 Triệu - ILA Quận 7, Quận 4, Quận 8",Trung Tâm Anh Ngữ ILA,15 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/trung-tam-anh-ngu-ila-57bfa5cf4cf23_rs.jpg
Nhân Viên Kinh Doanh (Kỹ Sư Bán Hàng) Tại Hà Nội (Thu Nhập Lên Đến 40 Triệu),CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ TST VIỆT NAM,Tới 40 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-thuong-mai-va-cong-nghe-tst-viet-nam-964448398533f5df52f77391696f2c63-663dde34c3cbf.jpg
Social Media Marketing (12-30 Triệu),Công Ty Cổ Phần Tập Đoàn Babylons,12 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tap-doan-babylons-63e5c8d6e9a4a.jpg
Purchasing Staff/ Nhân Viên Mua Hàng (Thu Nhập Từ 10 Triệu),Công ty TNHH Joma Việt Nam,Trên 10 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-joma-viet-nam-60b72f7fa9454.jpg
Kiểm Soát Chất Lượng (QA/QC)- Tp. Hồ Chí Minh- Yêu Cầu Kinh Nghiệm- Thu Nhập 14-16 Triệu - Đi Làm Ngay,Công ty TNHH Lavender Sài Gòn,14 - 16 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-lavender-sai-gon-6071863869d15.jpg
"GẤP
Spa Manager/ Quản Lý Spa/ Sales Manager - Thu Nhập UpTo 36 Triệu/ Tháng - Từ 3 Năm Kinh Nghiệm - Hồ Chí Minh (Đi Làm Ngay)",Công ty Cổ phần Truyền thông E-Solution,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/Icg8UvL0xAhwLocuNdJ1HvmyvS0GmkYS_1644304644____026bd60e41bcc2c50f20ff8167b70833.png
"GẤP
Nhân Viên Kinh Doanh (Điện Nước - Kim Khí) - Thu Nhập Từ 10 - 20 Triệu",CÔNG TY TNHH SOCAL,10 - 20 triệu,"Bình Dương, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/OoEQugIY7yx9JzKeaEUg6kXJHxDft12a_1687495087____e6591adfeebda1c0022ae1f9d7baa435.jpeg
Nhân Viên Kinh Doanh Phần Mềm/ Sales/ Chăm Sóc Khách Hàng Tại Hà Nội_ Tp. Hồ Chí Minh- Thu Nhập 10- 25 Triệu,Công ty TNHH Pancake Việt Nam,10 - 25 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/1DjU82KZZsjcWtmYZhXlnc68LHd9VRcL_1696478820____eae53d215c787a967d52d4f6657d5c86.png
Supply Chain - Chuyên Viên Cung Ứng Tại Tp.HCM (Chỉ Tuyển Nam),CÔNG TY TNHH FIRSTHUB LOGISTICS,12 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-firsthub-logistics-e7671a3f3549d4c1e24580861e6faeb0-66aafc25c861d.jpg
Nhân Viên Chăm Sóc Khách Hàng - Đi Làm Ngay,CÔNG TY TNHH VIETNAM PREMIUM PRODUCTS TRADING,7 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/QMQRGATIVCb93wSSx2JgvzDe8MwFflMn_1690969543____e5cf2197e7234e717ca5054800628fdd.png
"GẤP
Nhân Viên Kinh Doanh (Ưu Tiên Vừa Tốt Nghiệp)",Công ty TNHH Maxhair Việt Nam,8 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/uW3yC8okaZ4cGnaPTibxgNvpkSccZ6YK_1670293143____306c79872c55e4fcabeb7c0f09cdab2f.jpg
Nhân Viên Kinh Doanh,Công ty Cổ phần Hana Korea Group,7 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/JszvJTyP21QbNEFYSD70aZD1KdpABb4a_1702526931____359d7339f21fc853049d6e7ef8b138bd.png
"Chăm Sóc Khách Hàng Giỏi Tiếng Anh Ca Sáng - Customer Service Staff (Làm Tại Quận 7, Lương Từ 10-11 Triệu), Nghỉ 2 Ngày/Tuần",CÔNG TY TNHH GBG GROUP SERVICES,10 - 11 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-gbg-group-services-62f4cbe70f556.jpg
"TOP
Kỹ Sư Phân Tích Dữ Liệu ( Data Analyst) Tại Hà Nội",TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,16 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/tap-doan-cong-nghiep-vien-thong-quan-doi-6417bb41bf793.jpg
"Nhân Viên Kinh Doanh Khu Vực Cần Thơ, Cà Mau, Trà Vinh, Bến Tre, Tiền Giang, Kiên Giang, HCM - Thu Nhập UpTo 40 Triệu - Đi Làm Ngay",Công ty CP Đông Á,20 - 40 triệu,Cà Mau & 5 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-cp-dong-a-cf0d3b34f2d37afe82af1ac51e889bca-669f7746a4880.jpg
"HOT
Nhân Viên Marketing/ Digital Marketing (Nữ, Facebook Ads, Google Ads, Tiktok Ads,...) Tại Hà Nội",CÔNG TY TNHH ESTELLE VIỆT NAM,9 - 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-estelle-viet-nam-61446432ec7b2.jpg
Trình Dược Viên OTC (Thu Nhập Trung Bình 10 - 17 Triệu/ Tháng),CÔNG TY TNHH ROHTO-MENTHOLATUM (VIỆT NAM),10 - 17 triệu,Lào Cai & 8 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/SOCaSAefKUsZyL3GRAFoiRX4S7Qw1QdJ_1672190324____b064423271ebff0947bffdbb3dc37a09.png
Kế Toán Tổng Hợp,Công Ty TNHH Green Lube Việt Nam,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/Ltob6WkUz71wlBjK0TeCXHNfNj94FAdW_1634180417____6fccaf1de1bdc4be241eebabfd62f3ec.jpg
Quản Trị Viên Tập Sự - Mảng IT Technology - Mức Lương Hấp Dẫn $1000 USD - Techcombank Hà Nội,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KỸ THƯƠNG VIỆT NAM,"Trên 1,000 USD",Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ngan-hang-thuong-mai-co-phan-ky-thuong-viet-nam-632bbf5a763f7.jpg
Chuyên Viên Phụ Trách C&B - Chính Sách,TRƯỜNG TRUNG HỌC CƠ SỞ BAN MAI,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/truong-trung-hoc-co-so-ban-mai-7ec4f3d39db42133f951d3307f575cc3-664b082667663.jpg
Nhân Viên Chăm Sóc Khách Hàng (Yêu Cầu Tiếng Anh Tốt),CÔNG TY TNHH DR. MARIE,10 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/wWwm1NNwuP4tV639NSpYLBtcz9wail5E_1687421192____243bd89831f72148503e4eea9511ffc1.png
"GẤP
Nhân Viên Kinh Doanh Phát Triển Thị Trường Ngành Dược (Khu Vực Hồ Chí Minh, Miền Đông, Miền Tây Nam Bộ (Lương 14 Triệu + Hoa Hồng)",CÔNG TY CỔ PHẦN THƯƠNG MẠI CENTER,Trên 14 triệu,Cà Mau & 23 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/a69413df800fec95dcd4b3a6cf1278d1-646ac859335db.jpg
Nhân Viên Video Editor (Spa Thẩm Mỹ) Thu Nhập Từ 12 Đến 18 Triệu,CÔNG TY TNHH RON INTERNATIONAL,12 - 18 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-ron-international-638952c1abea0.jpg
"GẤP
Cán Bộ Kỹ Thuật Hiện Trường (Xây Dựng Dân Dụng - Công Nghiệp)",CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG 647,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-xay-dung-647-fad9304a4ea292bf343ef9b803b88c46-66b17c64cfe49.jpg
Nhân Viên Kinh Doanh Lĩnh Vực Quà Tặng Doanh Nghiệp Tại Hà Nội Và HCM (Thu Nhập Upto 30 Triệu/Tháng),Công ty TNHH Đầu tư và Thương mại AAA Việt Nam,10 - 30 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-dau-tu-va-thuong-mai-aaa-viet-nam-5adee086a0649.jpg
"TOP
Nhân Viên Telesales/ Tư Vấn Bán Hàng Qua Điện Thoại (Data Có Sẵn, Làm Giờ Hành Chính, Lương Cứng 7 Triệu + Thưởng) Tại Hà Nội",CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,8 - 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-transcosmos-viet-nam-5961d92dd08ff3673bd213e172710a39-65dd57faac12a.jpg
Nhân Viên Telesales/Chăm Sóc Khách Hàng - Lương Hấp Dẫn,"GOOD FOOD CO., LTD",8 - 12 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/DmPiGt4XMsf435Ek7pMfV2YlYRKHQFCj_1715243708____6ca280d91679de0e07bae2787bb74c5b.png
Nhân Viên Chăm Sóc Khách Hàng Ngành F&B ( Thu Nhập 8 - 11 Triệu + Thưởng) Tại Hà Nội,CÔNG TY CỔ PHẦN TẦM NHÌN QUỐC TẾ ALADDIN,8 - 11 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tam-nhin-quoc-te-aladdin-613f00ea1cee0.jpg
Cán Bộ Hành Chính_PTCD HCM,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
Trưởng Nhóm Telesales - 1 Năm Kinh Nghiệm - Thu Nhập Cao - Làm Việc Tại Quận 6/ Hồ Chí Minh,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ YUE RUN,13 - 17 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-thuong-mai-quoc-te-yue-run-d397fe656a50ea72a82256ccf316b28f-659cbb9d432eb.jpg
Nhân Viên Kinh Doanh / Sale Marketing (9-25Triệu) - Tuyển Nam,CÔNG TY TNHH MỘT THÀNH VIÊN IN ẤN VĂN PHÒNG PHẨM DANH TIẾNG PHÁT,9 - 25 triệu,Bình Dương,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/c6zp2aZI4WfdLFSF01qmhLyI3R5P6uvu_1722475920____9466ac4604695a973f890f5a6f1f267a.jpg
Giám Sát Vận Hành Rạp Chiếu Phim,Công ty TNHH CJ CGV Việt Nam,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-cj-cgv-viet-nam-chi-nhanh-ha-noi-5799ded52e6af.jpg
"TOP
Nhân Viên Tư Vấn Tuyển Sinh - Từ 6 Tháng Kinh Nghiệm Telesales/Sales - Lương Cứng 8-13 Triệu",EDUPIA,13 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/edupia-738d242f1fe18d4bbd6e7dc01d9b31c1-6594db35ebfd5.jpg
"GẤP
Tư Vấn Tuyển Sinh (Part Time)",CÔNG TY TNHH RISING STARS EDUTECH,3 - 10 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/gJGOG6PQ9dwZiA9rey9XhWBtDXFpQcdd_1712729457____1a596255d7efbe49d6feac705a424eb6.jpg
"Nhân Viên Kinh Doanh Phần Mềm, Website Bán Hàng [Hà Nội] - Thu Nhập Upto 30Tr+++, Nhiều Đãi Ngộ Hấp Dẫn",Công ty cổ phần Công nghệ Haravan,10 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-haravan-640ad7b1acd49.jpg
"HOT
Presale Tư Vấn Dự Án Công Nghệ Thông Tin Và Chuyển Đổi Số - Thu Nhập Từ 18-25 Triệu - Tại TP. Hồ Chí Minh",CÔNG TY CỔ PHẦN CÔNG NGHỆ MOBIFONE TOÀN CẦU,18 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-mobifone-toan-cau-2776a963aa447d9157e121f36ad01870-66600f88b767d.jpg
Nhân Viên Chăm Sóc Khách Hàng (Tuyển Nữ) Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH MỘT THÀNH VIÊN ALIFACO,8 - 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/Vh8lXAbGBvoaRz2YY71E3Ikopz5ZQ4N7_1675907111____e4f3eff0565554dda9bcc55b3af10668.png
"TOP
HOT
GẤP
Direct Sales/ Nhân Viên Kinh Doanh/ Tư Vấn Tuyển Sinh (2002 -1990) Tại Hoàng Mai/ Hà Đông/Hoài Đức - Thu Nhập Từ 12 - 30tr - Không Yêu Cầu Kinh Nghiệm",VUIHOC.vn,12 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/mUyofsckMXP3yzizOUHPwHfY8D59Yttp_1687234000____832d24e7c60703094b8d0922161d91a7.png
"TOP
Nhân Viên Quản Lý Sản Phẩm ( Product Owner/Business Analyst)- Tại Hà Nội",TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,16 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/tap-doan-cong-nghiep-vien-thong-quan-doi-6417bb41bf793.jpg
Cán Bộ Tổ Chức Và Quản Lý Đào Tạo_Swinburne HCMC,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
"HOT
Nhân Viên Tư Vấn - Không Yêu Cầu Kinh Nghiệm - Thu Nhập Cao - Làm Việc Từ Thứ 2 Đến Thứ 6 - Tại Tân Bình & Bình Thạnh",CÔNG TY TNHH TRADE CENTRE VN,10 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-trade-centre-vn-63e1d99b6c59a.jpg
Chăm Sóc Khách Hàng Sau Mua - Kiêm Telesale,CÔNG TY TNHH TOP RECRUITMENT VN,8 - 10 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/L1XnJOlCr6Jez3wzHVbeoGYEde7ZnlWS_1711550810____56e5b7f0ce0a9b2b6963c7098c247e36.jpg
"Nhân Viên Marketing (Video Editor) - Không Yêu Cầu Kinh Nghiệm, Lương 8 - 10 Triệu",OMIYAGE FRUITS & MORE,8 - 10 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/b1d926015490fd5bac44a4e6489a9027-6667d414b7457.jpg
Nhân Viên Phát Triển Kinh Doanh [Hà Nội/ Hồ Chí Minh] - Lương Cơ Bản Upto 13Tr + Hoa Hồng Upto 30% + Phụ Cấp,Công ty cổ phần Công nghệ Sapo,10 - 25 triệu,"Hồ Chí Minh, Hà Nội",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-sapo-6166c32089ac7.jpg
"HOT
Quản Lý Lớp Học/Điều Phối Lớp Học Tại Ninh Hiệp Gia Lâm (Yêu Cầu Có Tiếng Anh)",Công ty Cổ phần Đầu tư Tương lai Mỹ Anh,8 - 12 triệu,"Hà Nội, Bắc Ninh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-tuong-lai-my-anh-5e0efe565dee6.jpg
"HOT
Nhân Viên Tư Vấn (Không Yêu Cầu Kinh Nghiệm, Không Áp KPI) Tại Bình Tân - Hồ Chí Minh",CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẤT NAM,9 - 12 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tap-doan-dat-nam-605465b4d0cde.jpg
Nhân Viên Kinh Doanh/ Tư Vấn Có Sẵn Data Nguồn Và Data Khách Nhu Cầu,CÔNG TY CỔ PHẦN SSQC,6 - 12 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/9gKSriEaQWEL8lSdc6yc2Ps8qESEPf89_1720750894____7e6194576a7b7665a1d137b191378992.jpg
Chuyên Viên Quan Hệ Khách Hàng - Nam Từ Liêm HN,Ngân Hàng TNHH MTV Shinhan Việt Nam,9.1 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ngan-hang-tnhh-mtv-shinhan-viet-nam-5bf7ac614caf6_rs.jpg
Software Tester (Manual/ Automation) - Thu Nhập Upto $1400,Công Ty Cổ Phần Công Nghệ SellerSmith,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/BfcZHs2FN6WyuTQqOb33ng8dganWf9ow_1684895246____a42906a0a2840096a26ef138e91385bc.png
Chuyên Viên Marketing BĐS (Thu Nhập 12 -18 Triệu + Phụ Cấp Ăn Trưa),CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI BĐS NEWSTARLAND,12 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/MaTpHX14rErDjrysXF24pdVGdSzn73ed_1695887667____cd3f3eb551f3fa97c2ea7e9e2d5621c8.png
Nhân Viên Kinh Doanh/ Trình Dược Viên - Thu Nhập Lên Đến 30 Triệu - Làm Việc Tại Hồ Chí Minh/ Hà Nội / Đà Nẵng,Công Ty Cổ Phần Genki Fami Việt Nam,Tới 30 triệu,Hà Nội & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-genki-fami-viet-nam-42876c9395c3cf89d077ad533c8a3423-66aa04673813a.jpg
Nhân Viên Kinh Doanh /Sale Du Lịch - Hỗ Trợ 100% Data - Thu Nhập 20-30 Triệu/Tháng,Công ty Cổ phần Đầu tư và Phát triển du lịch Ravi,20 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-phat-trien-du-lich-ravi-63ecad7250fe9.jpg
"Trưởng Phòng Marketing (Lương Cứng 20 - 30 Triệu + % Thưởng), Hỗ Trợ Ăn Trưa",CÔNG TY CỔ PHẦN ĐÀO TẠO SUCCESS BUSINESS VIỆT NAM,20 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ea86a0b7a083b8cf4506e5873effc79b-65d454a1d8fd1.jpg
Nhân Viên Kinh Doanh/ Tư Vấn / Sales B2B Phần Mềm 1 Năm Kinh Nghiệm Trở Lên (Lương Cứng 8-13 Triệu + Doanh Số) Tại Hà Nội Và Hồ Chí Minh,CÔNG TY CỔ PHẦN JEGA VIỆT NAM,10 - 25 triệu,"Hà Nội, Hồ Chí Minh",https://www.topcv.vn/v4/image/normal-company/logo_default.png
"GẤP
Nhân Viên Kinh Doanh (Sales) - Tư Vấn Dịch Vụ Vận Tải Hàng Hóa Tại Cầu Giấy, Hà Nội",CÔNG TY CỔ PHẦN TRANSIN GROUP,10 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-transin-group-47b67be057fcb5132ebf44440f12f45b-65f7c4f5067f6.jpg
Nhân Viên Xuất Nhập Khẩu - Kinh Nghiệm Từ 3 Năm (Quận 7),CÔNG TY TNHH GIAO NHẬN VÀ VẬN TẢI BIỂN ĐÔNG,12 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/PgphEnjdMdDopV49GihCdSnFMhrG43xe_1722248232____43ea70812edf083592f0db3130f4319c.png
Nhân Viên Content Creator - Đi Làm Ngay - Thu Nhập Từ 9 - 15 Triệu / Tháng,Công Ty Cổ Phần Tập Đoàn BaHa,9 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/RoQd7Kwy9buvrFkPV9GgnHPUQ4Osdzao_1722142594____a22de0d4b26962329c2f95cda08dbcc0.jpg
Web Developer - Tại Hồ Chí Minh - Thu Nhập Hấp Dẫn,Công ty TNHH Shinhan DS Việt Nam,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/Q6DbjQ20opnjccm2dkOgOPstXqDqr0fj_1702522936____93cd99459ede1e6386ebf60c9127ccf9.png
Trưởng Nhóm Telesales - Teamlead Thu Nhập Max 40 Triệu/ Tháng,Công ty Cổ phần BPO Mắt Bão,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-bpo-mat-bao-62fc8c7736e16.jpg
Nhân Viên Kinh Doanh Bất Động Sản - Hỗ Trợ Marketing 100%,CÔNG TY CỔ PHẦN TẬP ĐOÀN MY SECOND HOME,5 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/aa72bfa2502bb8fd2e8226bd294c77eb-66a84bdf36828.jpg
Chuyên Viên Kế Toán - Yêu Cầu 2 Năm Kinh Nghiệm Trở Lên (Lương Up To 16 Triệu) - Đi Làm Ngay,CÔNG TY TNHH XUẤT NHẬP KHẨU PHÁT TRIỂN ĐÔNG DƯƠNG - TẬP ĐOÀN THỂ THAO KINGSPORT,12 - 16 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-xuat-nhap-khau-phat-trien-dong-duong-tap-doan-the-thao-kingsport-63bbc55e020e7.jpg
Nhân Viên Kinh Doanh (Sale)/ Tư Vấn Bán Hàng Ô Tô (Thu Nhập Up To 30 Triệu++),CÔNG TY TNHH MỘT THÀNH VIÊN KINH DOANH Ô TÔ THANH XUÂN,10 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/T2QeLqaj2GsXWRGEKdr63YriPgqIZp47_1712285226____a7ec763b9b8d87946de1ab131d22ba32.png
"HOT
Nhân Viên Thiết Kế Kết Cấu Nhà Gỗ Nhật Bản (Được Đào Tạo Công Việc Từ Đầu)",CÔNG TY TNHH YOUSTATION VIỆT NAM,8.5 - 9 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-youstation-viet-nam-62822af30a1a1.jpg
Nhân Viên Sales/ Chăm Sóc Khách Hàng Sàn Thương Mại Điện Tử - Ecommerce,CÔNG TY TNHH TM TÂN NHẤT HƯƠNG,7 - 8 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/XcYbkuxTTv7e488wAlRwoDzRX5czlAnU_1681897634____ba53aa40ff41802fd6dc3a3d48fc9f89.png
Chuyên Viên Kinh Doanh Phân Phối _ Sản Phẩm ICT,Công ty Cổ phần Thế Giới Số DIGIWORLD,12 - 20 triệu,Hà Nội & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-the-gioi-so-digiworld-5b1f7411854b9_rs.jpg
Tổ Chức Hành Chánh Coopmart Đồng Văn Cống (Quận 2),Liên Hiệp HTX Thương mại TP.HCM (Saigon Co.op),Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/b1646bad3174935c75a1f91b16e1520d-61c1730e64e24.jpg
