Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
Giám Thị Học Đường_PTCD BRVT,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Bà Rịa-Vũng Tàu,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
"GẤP
Kế Toán Tổng Hợp - Mức Lương Cạnh Tranh - Hồ Chí Minh",CÔNG TY CỔ PHẦN ĐẦU TƯ NGỌC SƠN NAM,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/11964be89288a91c5f21a4d4400b05db-664182a7adf4b.jpg
"Kỹ Sư Điện (Kỹ Thuật Điện) Lương 10 - 20 Triệu Làm Việc Tại Hà Nội, Các Tỉnh Lân Cận",CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG TOKEN VIỆT NAM,10 - 20 triệu,Hà Nội & 4 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/WUbd6WLY4Optqa5X9xIrjgEDrDmZFuyt_1710724969____8c4ade756cd22230466d03d02cbf16c2.jpg
"GẤP
Trưởng Phòng Kinh Doanh Tại Quảng Ninh",CÔNG TY CỔ PHẦN THẾ GIỚI FISHING,12 - 18 triệu,Quảng Ninh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-the-gioi-fishing-cfcc267c6cf963d9ffca2da82cec8176-66b312ce94dce.jpg
"Nhân Viên Tư Vấn Tuyển Sinh/Kinh Doanh/Sales/Consultant - Thu Nhập Hấp Dẫn Lên Đến 30 Triệu/Tháng - Khu Vực Quận 1, Bình Thạnh, Phú Nhuận",Trung Tâm Anh Ngữ ILA,25 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/trung-tam-anh-ngu-ila-57bfa5cf4cf23_rs.jpg
Trợ Lý / Thư Ký Ban Giám Đốc - Assistant Manager ( Thu Nhập 10 Triệu - 13 Triệu),Công Ty TNHH A Sóc,10 - 13 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-a-soc-5f18ff857b322.jpg
Project Manager/Software System Support Engineer (Tiếng Nhật) [Hà Nội],CÔNG TY TNHH SYSTEMEXE VIỆT NAM,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-systemexe-viet-nam-621f3e210b0f5.jpg
"Chuyên Viên Tư Vấn/ Sale/ Hoạch Định Tài Chính/ Chăm Sóc Khách Hàng (Phúc Lợi Toàn Diện, Y/C Từ 25 Tuổi) Tại Hồ Chí Minh",CÔNG TY TNHH BẢO HIỂM NHÂN THỌ AIA (VIỆT NAM),16 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/106245c62d9bfb6390241b6f82d725fd-658d4e7962c80.jpg
"GẤP
Kiến Trúc Sư/ Thiết Kế Kiến Trúc, Thu Nhập Lên Đến 18 Triệu Tại Hà Nội",CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG GREENHN,13 - 18 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/rAUYoZhhqsONmWTlNwPSFDyLrWfhfkCr_1718267343____87349e95feeea3754f729a67c4275067.jpg
Nhân VIên Phiên Dịch Tiếng Nhật (Thu Nhập 500-600 USD),CÔNG TY TNHH TAMRON OPTICAL (VIỆT NAM),500 - 600 USD,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-tamron-optical-viet-nam-4e7a93a4e4fe6e51c686d686a3d95175-667392d889c75.jpg
